,Track_id,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentness,Liveness,Loudness,Valence,Speechness,Tempo,Time_Signature
362,0HD8mbiPjp3o94X3EaZp0o,exes,exes,Tate McRae,2023-11-17,159400,74,0.152,0.838,0.569,0.000136,0.102,-6.324,0.551,0.0621,136.965,4
363,25C942IEyqXlm1sv2M8EGN,Slow Dance,Slow Dance,Meric,2024-01-19,241578,49,0.157,0.441,0.606,0.00191,0.0785,-6.152,0.0922,0.029,76.012,3
364,6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,2023-09-29,201812,85,0.0322,0.853,0.824,0.0,0.0859,-3.287,0.888,0.103,108.044,4
365,31MNHKE86sEXzIglbGQ6mu,Got Me Started,Something To Give Each Other,Troye Sivan,2023-10-13,198448,82,0.223,0.777,0.686,0.00148,0.318,-6.498,0.582,0.0308,127.002,4
366,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),The Weeknd,2023-03-14,232857,84,0.227,0.575,0.5,0.0,0.335,-7.594,0.506,0.0707,67.033,4
367,2GkFLKBarKpG7aoYHXg3Ue,Marry Me,Marry Me,GOVAN,2024-01-26,195173,51,0.344,0.797,0.52,2.02e-06,0.216,-7.134,0.647,0.0367,114.993,4
368,4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,Read My Lips,Sophie Ellis-Bextor,2002-06-06,230013,94,0.00234,0.73,0.849,2.6e-05,0.312,-5.281,0.887,0.0299,117.31,4
369,7jrI96onnEzgwPKacNJUCz,Strangers,Broken By Desire To Be Heavenly Sent (Extended Edition),Lewis Capaldi,2024-01-01,214438,76,0.512,0.546,0.454,0.0,0.0745,-4.334,0.247,0.0477,114.489,4
370,0WIv5qV41y6YjjB9V1biuC,Made For Me,Made For Me,Muni Long,2023-09-15,188000,87,0.137,0.785,0.47,1.12e-06,0.131,-6.42,0.0569,0.0329,120.006,4
371,1ysRQsCuDdjQiuj2KBegca,One Of These Days,One Of These Days,BRAN,2023-11-10,118056,46,0.149,0.822,0.54,3.02e-05,0.0895,-11.707,0.163,0.115,126.08,4
372,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,2023-08-25,227195,94,0.554,0.429,0.453,2e-06,0.102,-7.746,0.155,0.0459,77.639,4
373,4rXLjWdF2ZZpXCVTfWcshS,fukumean,a Gift & a Curse,Gunna,2023-06-16,125040,92,0.119,0.847,0.622,0.0,0.285,-6.747,0.22,0.0903,130.001,4
374,7p6h6v4qbTIKq6iiuRcdgO,greedy,greedy,midnight Berlin,2023-12-29,110270,50,0.00642,0.647,0.88,0.0161,0.121,-6.12,0.358,0.134,148.081,4
375,2Zo1PcszsT9WQ0ANntJbID,Feather,emails i can’t send fwd:,Sabrina Carpenter,2023-03-17,185552,93,0.0893,0.787,0.686,0.0,0.0927,-4.37,0.836,0.0339,123.51,4
376,23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,231545,88,0.12,0.671,0.876,0.188,0.0823,-5.681,0.964,0.0352,129.998,4
377,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,2023-10-26,229477,92,0.0504,0.596,0.658,0.0,0.127,-7.346,0.176,0.036,100.012,4
378,4PffmeCA1L7dF8FTVO1fXn,Reality,Reality,Meric,2023-11-10,181901,49,0.0681,0.698,0.83,0.0,0.294,-3.578,0.374,0.0773,141.999,4
379,2fB5YRuD88drKpCXQOAk03,Love On,Love On,Selena Gomez,2024-02-22,181650,82,0.183,0.756,0.529,2.32e-06,0.0791,-6.237,0.524,0.0368,115.987,4
380,5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,219453,80,0.464,0.631,0.535,0.0,0.115,-7.836,0.22,0.0842,140.127,4
381,1odExI7RdWc4BT515LTAwj,Daylight,Daylight,David Kushner,2023-04-14,212953,94,0.83,0.508,0.43,0.000441,0.093,-9.475,0.324,0.0335,130.09,4
382,4ELeOhdznV5qAuzN2cLYki,Caught Up,Caught Up,GOVAN,2023-11-17,146400,51,0.256,0.828,0.436,0.0,0.0866,-7.93,0.748,0.0622,99.973,4
